FName,LName,City,State,HS,Age,Body,Height,Weight,Team,Class,#,RedShirted,Scholarship,Position,Inside,PInside,Jumpshot,PJumpshot,Ft,PFt,3p,P3p,3pUsage,Handling,PHandling,Passing,PPassing,ORb,PORb,DRb,PDRb,PostD,PPostD,PerD,PPerD,Stealing,PStealing,Blocking,PBlocking,Fouling,Quickness,Jumping,Strength,Stamina,Intelligence,OverallPot,Games,Minutes,FGM,FGA,FTM,FTA,3PM,3PA,OReb,DReb,Ast,Stl,Blk,TO,PF,Prestige
Trent,Buttrick,Hollis,OK,Hollis High School,20,2,80,234,Penn State Nittany Lions,2,35,-1,-1,3,28,38,55,83,43,47,64,82,91,42,42,53,95,22,38,34,43,36,57,38,63,19,31,31,45,67,94,46,29,43,74,0,27,552,30,105,5,28,24,42,5,40,66,21,5,42,31,5
Myles,Dread,Bixby,OK,Bixby High School,21,1,76,215,Penn State Nittany Lions,1,2,-1,-1,5,41,60,47,60,64,80,79,88,73,71,100,58,72,16,21,40,65,24,26,38,60,46,68,43,64,28,75,43,31,89,20,0,27,515,44,68,0,0,14,37,43,58,17,11,35,25,78,5
John,Harrar,Yuma,AZ,Kofa High School,22,5,81,243,Penn State Nittany Lions,2,21,0,-1,3,24,28,85,86,62,62,96,100,100,73,81,38,41,53,54,6,6,28,39,50,50,32,38,11,13,57,100,82,44,54,90,0,19,113,6,24,1,11,1,2,1,5,7,3,1,6,8,3
Myreon,Jones,Kempten,Germany,,19,3,75,170,Penn State Nittany Lions,1,0,0,-1,5,26,40,57,67,50,61,59,79,68,74,92,42,56,22,30,15,21,16,20,32,40,36,43,18,29,42,71,59,50,19,48,0,21,105,12,33,1,9,4,11,11,21,5,6,2,11,22,3
Daniil,Kasatkin,Orange,VA,Orange County High School,22,3,79,215,Penn State Nittany Lions,1,4,0,-1,5,30,40,56,67,62,62,66,67,56,69,69,44,48,34,41,79,79,12,16,71,75,35,37,12,16,70,69,91,41,58,44,0,12,83,5,10,0,0,2,3,4,9,1,3,4,5,18,3
Josh,Reaves,Lithonia,GA,Shiloh High School,21,3,77,214,Penn State Nittany Lions,4,23,0,0,5,39,54,7,9,37,40,26,27,23,25,30,39,44,40,45,31,45,49,71,44,53,13,14,21,30,52,47,53,53,50,55,0,4,26,1,1,0,0,2,3,3,5,1,1,5,0,1,3
Lamar,Stevens,Kansas City,MO,Park Hill High School,20,1,80,230,Penn State Nittany Lions,3,11,0,-1,3,49,60,7,9,39,41,40,53,49,37,44,25,38,38,47,26,29,19,31,44,59,73,78,11,18,69,42,66,51,63,27,0,4,8,1,2,0,0,1,2,1,1,1,0,0,0,0,3
Mike,Watkins,Alexandria,VA,T.C. Williams High School,18,1,81,254,Penn State Nittany Lions,3,24,0,-1,3,25,38,30,47,31,38,21,24,21,53,87,40,57,21,28,18,28,22,37,39,51,48,58,57,78,41,61,45,53,100,26,0,28,721,91,236,14,58,64,103,38,93,36,25,6,59,71,3
Jamari,Wheeler,Bourke,Australia,,18,4,73,170,Penn State Nittany Lions,2,5,0,-1,5,20,30,42,56,17,24,12,16,15,32,43,30,47,66,85,67,79,68,95,40,48,29,53,39,59,41,33,43,74,53,76,0,28,678,121,240,5,23,51,90,50,92,41,17,10,57,54,3
Deividas,Zemgulis,Glendive,MT,Dawson County High School,20,1,78,220,Penn State Nittany Lions,4,1,0,0,3,44,46,39,47,49,57,14,19,23,26,28,26,32,29,33,48,49,60,67,7,9,52,60,41,51,52,25,34,64,42,31,0,27,666,53,143,20,63,46,70,16,63,53,23,0,43,58,3
Grant,Hazle,Virginia Beach,VA,Ocean Lakes High School,19,1,78,194,Penn State Nittany Lions,3,22,0,-1,3,51,60,9,11,31,41,17,28,31,26,39,8,11,44,54,40,57,77,87,11,22,48,63,46,62,73,37,44,67,71,88,0,28,605,66,172,39,90,31,41,10,29,47,23,0,33,27,3
Kyle,McCloskey,Middletown,OH,Middletown High School,20,2,77,210,Penn State Nittany Lions,1,10,-1,-1,5,29,52,22,38,36,42,0,0,0,24,37,32,59,42,66,72,99,69,93,45,81,25,34,47,71,73,14,32,92,19,44,0,28,514,44,103,29,66,15,27,6,43,48,10,2,39,72,3
Taylor,Nussbaum,Virginia Beach,VA,Green Run High School,22,5,74,175,Penn State Nittany Lions,2,20,0,-1,5,61,71,33,44,28,28,25,28,31,53,61,18,22,63,73,26,30,53,59,14,17,63,80,42,46,33,34,26,100,54,19,0,28,501,63,128,22,51,49,60,8,24,24,8,1,29,44,3
Eric,Cooper,Holly Pond,AL,Holly Pond High School,20,4,75,190,Pepperdine Waves,4,21,0,-1,5,29,37,9,11,38,39,34,43,45,5,6,42,49,78,94,32,44,58,62,23,34,12,21,23,30,71,13,26,77,49,69,0,28,414,39,79,13,36,6,13,12,43,28,3,10,29,42,3
Darnell,Dunn,Clinton,OK,Clinton High School,21,2,78,220,Pepperdine Waves,4,12,-1,-1,3,46,60,54,66,59,62,46,69,80,51,67,36,42,12,16,62,73,8,11,48,71,37,48,40,52,35,72,71,44,38,75,0,25,379,21,51,0,1,14,18,8,44,14,4,22,15,45,5
Kameron,Edwards,Yukon,OK,Yukon High School,19,2,78,230,Pepperdine Waves,3,20,-1,-1,3,39,49,18,23,26,30,68,94,85,49,62,59,86,13,17,41,63,22,32,44,55,39,66,22,33,19,91,43,25,31,16,0,28,351,31,59,0,0,26,45,24,58,2,6,0,24,40,5
Kessler,Edwards,Little Rock,AR,J.A. Fair High School,21,1,80,190,Pepperdine Waves,1,15,-1,-1,3,36,47,73,94,68,68,41,52,54,57,67,48,59,26,33,34,47,34,49,43,51,56,71,21,28,9,79,56,28,66,62,0,24,313,19,63,2,19,64,85,7,34,30,17,1,25,37,5
Andre,Ball,Bronx,NY,Christopher Columbus High School,21,2,79,190,Pepperdine Waves,1,10,0,-1,2,36,45,90,90,50,54,49,60,55,76,80,27,40,11,12,54,63,60,62,65,72,67,68,32,42,43,70,96,52,52,51,0,26,297,13,43,2,18,29,39,10,15,9,5,12,16,53,5
Erik,Mailliard,Nettleton,MS,Nettleton High School,22,1,82,230,Pepperdine Waves,1,33,0,-1,1,37,38,45,55,40,40,65,70,70,71,71,17,25,34,39,12,12,47,59,55,58,94,94,47,58,37,73,70,43,81,10,0,20,208,17,51,3,25,6,18,4,16,13,8,1,10,14,5
Victor,Ohia,Camden,MS,Velma Jackson High School,20,4,81,200,Pepperdine Waves,1,34,-1,-1,1,24,42,38,64,28,31,40,55,45,32,42,33,60,19,33,36,60,13,17,46,59,52,66,21,27,43,65,91,53,43,33,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,5
Darryl,Polk,Panama,NY,Panama High School,19,4,69,145,Pepperdine Waves,1,2,0,-1,5,41,55,21,30,46,47,48,74,88,28,44,36,44,81,100,51,63,20,34,66,77,41,67,22,38,18,46,60,49,73,22,0,28,966,223,390,0,0,104,158,79,176,67,15,19,61,67,5
Colbey,Ross,Seaside,CA,Seaside High School,21,3,73,180,Pepperdine Waves,2,4,0,-1,5,21,27,46,53,31,33,48,61,50,89,97,37,47,22,30,22,30,53,72,82,85,43,59,25,35,32,65,80,63,49,82,0,28,954,112,261,68,164,54,81,24,117,42,39,6,49,84,5
Jade,Smith,Santa Ana,CA,Century High School,20,1,76,180,Pepperdine Waves,2,5,0,-1,5,54,62,51,53,31,38,27,44,50,44,60,51,68,36,57,26,39,16,23,29,44,40,47,44,61,86,61,76,57,85,28,0,27,859,91,254,42,133,70,80,8,46,103,15,0,62,74,5
Jackson,Stormo,Naples,FL,Naples High School,20,5,80,260,Pepperdine Waves,1,50,0,0,1,53,59,25,28,51,52,0,0,0,32,56,27,34,45,50,38,47,49,53,10,17,30,45,33,47,11,44,32,62,32,84,0,28,772,47,128,28,75,27,37,56,121,38,26,7,29,73,5
Michael,Wexler,Calhoun City,MS,Calhoun City High School,21,1,71,175,Pepperdine Waves,1,3,0,-1,5,88,88,60,61,33,33,39,41,43,35,39,44,49,60,64,100,100,53,53,40,45,61,82,54,55,70,48,49,86,51,86,0,27,772,49,126,33,73,45,57,7,48,116,11,2,52,38,5
Jay,Yoon,Diberville,MS,Diberville Senior High School,19,5,76,195,Pepperdine Waves,1,14,0,-1,5,51,60,18,32,32,34,0,0,0,16,28,35,57,53,85,51,73,53,72,30,54,38,64,17,27,67,30,42,65,43,29,0,28,601,85,160,18,38,36,51,50,70,39,14,11,30,58,5
Terrell,Brown,Liberty,MS,Amite County High School,21,3,82,230,Pittsburgh Panthers,2,21,0,-1,#N/A,54,57,28,29,33,37,0,0,0,70,93,52,56,30,42,79,80,55,58,11,18,71,76,52,56,20,27,35,87,55,59,0,28,415,47,87,5,24,12,19,33,79,26,10,14,23,39,5
Kene,Chukwuka,Grenada,MS,Grenada High School,22,2,81,225,Pittsburgh Panthers,3,15,-1,0,2,28,29,27,35,40,45,27,28,30,9,9,33,40,44,50,41,47,70,80,44,61,9,9,31,36,9,24,36,88,80,40,0,23,181,17,36,12,28,2,6,5,16,4,6,0,3,26,5
Khameron,Davis,State Center,IA,West Marshall High School,19,5,76,200,Pittsburgh Panthers,2,13,0,-1,5,30,51,6,12,35,36,0,0,0,33,43,23,38,62,78,59,85,35,44,19,32,24,36,42,65,56,31,32,94,36,33,0,18,94,19,29,0,0,7,13,2,15,2,0,5,13,16,5
Malik,Ellison,Wilson,AR,Rivercrest High School,20,3,78,215,Pittsburgh Panthers,3,3,-1,-1,5,57,75,75,83,43,51,64,99,90,48,48,69,76,31,50,29,48,31,51,56,84,47,69,40,53,38,94,64,22,36,57,0,21,65,4,14,0,3,1,4,5,6,3,3,0,9,9,3
Samson,George,Glen Burnie,MD,Glen Burnie Senior,23,1,79,210,Pittsburgh Panthers,2,24,-1,-1,3,41,47,80,83,61,61,76,76,61,66,66,91,96,22,28,31,34,25,28,47,51,34,36,51,55,56,88,79,53,62,92,0,1,14,1,3,1,3,0,0,0,1,0,0,0,2,1,3
Peace,Ilegomah,La Porte City,IA,Union High School,19,5,81,240,Pittsburgh Panthers,2,42,0,-1,1,26,31,60,81,50,58,36,46,42,48,48,54,64,44,56,31,49,24,34,33,52,26,36,40,49,62,82,48,28,52,12,0,27,762,83,200,37,118,57,77,32,94,62,38,9,52,36,5
Xavier,Johnson,Leakesville,MS,Greene County High School,22,4,75,190,Pittsburgh Panthers,1,1,-1,-1,5,40,47,41,47,58,58,90,90,88,56,59,44,46,16,22,59,66,26,38,87,87,24,32,37,45,5,97,43,38,81,0,0,27,744,81,228,50,152,70,83,25,89,112,35,4,48,66,5
Trey,McGowens,Marks,MS,M.S. Palmer High School,20,1,75,185,Pittsburgh Panthers,1,2,-1,-1,5,26,40,69,98,59,70,71,89,90,71,97,74,82,7,12,25,28,14,22,44,49,33,46,14,22,40,78,43,32,81,38,0,27,735,73,178,22,64,49,78,12,59,72,27,4,55,72,5
Sidy,Ndir,Charleston,MO,Charleston High School,20,3,75,180,Pittsburgh Panthers,4,11,0,-1,5,35,53,63,99,63,63,84,100,80,84,99,32,49,33,39,36,57,10,17,35,44,32,54,22,35,8,92,50,25,65,31,0,27,616,99,198,14,43,85,122,45,85,51,26,14,39,59,5
Anthony,Starzynski,Concord,CA,Mt. Diablo High School,21,4,75,190,Pittsburgh Panthers,3,22,-1,-1,5,42,53,59,76,46,46,28,40,33,46,47,59,82,28,38,43,57,30,35,58,75,48,68,44,70,2,74,45,44,46,1,0,27,575,80,228,52,139,30,43,18,45,17,15,3,19,34,5
Shamiel,Stevenson,Basalt,CO,Basalt High School,21,5,78,245,Pittsburgh Panthers,2,23,-1,-1,2,56,70,75,82,44,44,67,90,94,27,29,37,50,14,19,60,64,10,12,46,58,93,93,50,64,40,76,91,38,97,55,0,27,480,88,140,0,1,53,87,77,137,7,9,66,39,84,5
Au'Diese,Toney,Hood River,OR,Hood River Valley High School,23,3,78,210,Pittsburgh Panthers,1,5,0,-1,5,31,33,100,100,68,68,87,100,81,77,77,56,66,11,11,44,50,12,16,36,38,41,41,39,42,8,63,61,47,100,58,0,27,388,68,124,8,19,77,97,48,71,14,7,3,29,61,5
Jared,Wilson-Frame,Lebanon,CT,Lyman Memorial High School,21,2,77,220,Pittsburgh Panthers,4,4,0,-1,2,31,45,36,47,28,30,73,92,97,37,46,40,55,36,49,16,19,22,32,48,55,54,63,39,52,60,83,63,41,58,65,0,27,363,19,53,10,34,7,15,19,48,17,5,0,19,44,5
Joe,Mascaro,Ontario,OR,Ontario High School,21,2,70,170,Pittsburgh Panthers,4,12,0,-1,5,52,62,65,77,68,68,37,46,44,42,48,31,39,95,99,77,85,75,79,28,40,37,41,28,39,51,50,69,54,46,76,0,25,305,38,76,6,18,24,34,14,38,27,12,6,24,27,5
Onyebuchi,Ezeakudo,Portland,OR,Sunset High School,20,4,71,180,Pittsburgh Panthers,1,31,0,-1,5,41,48,40,63,33,33,33,38,44,40,59,34,53,59,71,57,66,40,56,40,47,56,69,60,86,30,43,42,52,98,23,0,23,264,18,51,6,19,9,14,17,31,12,2,12,11,21,5
Tahirou,Diabate,Port Augusta,Australia,,20,4,81,240,Portland Pilots,2,14,-1,-1,3,44,56,33,46,48,60,41,50,55,42,63,23,33,44,79,57,70,35,65,42,67,83,100,38,54,99,56,54,52,42,38,0,16,97,14,33,1,5,2,3,8,15,5,3,1,6,15,5
Takiula,Fahrensohn,Falmouth,KY,Pendleton County High School,20,5,78,190,Portland Pilots,1,20,-1,0,5,43,54,15,22,45,50,12,21,24,20,38,32,53,68,87,70,87,47,71,37,50,28,45,44,59,41,39,35,73,47,48,0,12,74,10,14,0,0,10,14,11,12,9,3,0,3,10,5
Theo,Akwuba,Plattsburg,MO,Plattsburg High School,19,4,82,205,Portland Pilots,1,12,0,0,1,26,44,14,19,40,41,28,36,30,39,49,15,25,61,70,66,100,46,70,11,17,34,47,67,94,49,36,31,69,71,54,0,11,39,1,9,1,8,2,2,1,1,1,1,0,1,3,5
Hugh,Hogland,Erskine,MN,Win-E-Mac High School,22,4,82,240,Portland Pilots,1,32,-1,-1,2,71,77,14,18,39,45,26,27,28,63,76,32,37,93,93,29,37,58,58,20,27,27,34,59,62,38,15,84,88,77,68,0,11,33,2,8,2,7,6,6,0,1,3,1,0,2,3,5
Josh,McSwiggan,Mississauga,Canada,,23,5,79,220,Portland Pilots,3,11,-1,-1,2,58,60,26,30,32,37,0,0,0,47,53,11,12,90,90,76,85,47,50,37,52,6,6,51,51,39,27,27,80,62,26,0,30,895,93,225,11,39,100,128,15,56,121,36,4,68,50,5
Josh,Phillips,Amstadt,Germany,,21,5,81,225,Portland Pilots,1,21,0,-1,3,72,75,29,36,11,11,0,0,0,48,49,43,51,47,47,91,91,73,73,54,67,11,15,84,84,55,28,37,92,65,88,0,30,829,110,243,62,158,38,41,17,79,40,17,10,32,83,5
Franklin,Porter,Bartlesville,OK,Bartlesville High School,18,2,76,215,Portland Pilots,3,13,0,-1,5,24,41,24,38,56,56,60,78,83,69,100,66,79,32,50,11,21,7,12,33,43,46,74,18,25,67,94,51,28,76,56,0,30,794,119,246,5,22,118,188,27,68,66,41,3,54,73,3
Malcolm,Porter,Dale,OK,Dale High School,21,1,76,200,Portland Pilots,2,1,-1,-1,5,16,22,27,41,29,29,55,65,59,48,48,4,5,35,52,33,40,11,15,42,58,21,29,44,74,69,78,64,42,27,22,0,29,633,68,172,14,36,31,52,21,74,35,31,6,43,54,3
Marcus,Shaver,Sandy,OR,Sandy High School,22,2,74,185,Portland Pilots,2,10,0,-1,5,79,82,95,95,62,62,43,49,58,92,92,66,66,21,28,9,9,14,15,34,43,84,84,57,66,22,76,84,34,71,29,0,30,593,75,128,0,0,42,56,55,109,11,11,23,40,79,5
Brian,Smith,Ellijay,GA,Gilmer High School,22,1,72,180,Portland Pilots,2,22,0,-1,5,28,33,91,91,61,61,54,56,62,53,53,92,92,26,28,71,71,35,36,35,43,89,89,28,29,89,83,71,46,80,59,0,30,559,62,142,29,80,31,47,12,47,51,22,1,31,26,5
Jacob,Tryon,North Las Vegas,NV,Cimarron Memorial High School,22,3,84,205,Portland Pilots,2,33,-1,-1,2,30,34,59,64,75,75,43,50,58,59,69,90,90,54,59,24,31,39,52,75,75,77,77,36,38,18,84,67,60,62,60,0,30,435,46,126,29,85,14,23,21,35,21,14,13,16,45,5
Miles,Turner,Myrtle Point,OR,Myrtle Point High School,21,4,74,190,Portland Pilots,1,5,-1,-1,5,48,52,54,69,35,35,94,100,88,27,38,59,74,27,40,15,16,42,47,84,84,69,78,38,49,10,73,82,48,63,96,0,30,401,70,176,32,95,23,30,11,22,30,17,0,28,28,5
JoJo,Walker,Siegen,Germany,,19,3,73,170,Portland Pilots,2,2,-1,-1,5,55,68,32,48,33,47,68,100,100,54,66,37,51,18,32,16,21,41,56,41,54,43,55,4,8,66,72,91,36,42,18,0,24,368,36,98,11,32,22,41,29,51,16,13,16,25,59,5
Xavier,Hallinan,Deer River,MN,Deer River High School,22,3,73,170,Portland Pilots,3,55,-1,-1,5,52,57,24,25,59,59,23,28,23,40,44,29,29,82,82,49,49,40,47,55,60,89,89,59,61,98,71,44,53,92,88,0,29,272,16,28,0,0,1,4,13,26,3,8,11,18,73,5
Crisshawn,Clark,Anaheim,CA,Esperanza High School,20,4,76,205,Portland Pilots,3,0,0,-1,5,18,29,84,100,87,98,5,5,6,57,65,44,55,28,44,43,58,24,28,29,44,68,92,38,52,56,66,56,47,58,4,0,28,190,25,49,0,0,0,6,17,28,9,10,3,14,31,5
Derek,Brown,The Dalles,OR,The Dalles High School,21,2,72,180,Portland State Vikings,4,25,-1,0,5,27,37,13,18,41,45,18,26,31,59,75,47,59,43,49,74,80,50,72,57,66,32,44,59,63,27,47,49,64,70,1,0,10,30,2,3,0,0,0,2,2,1,0,0,0,4,12,5
Filip,Fullerton,Dallas,TX,Bryan Adams High School,20,4,81,215,Portland State Vikings,1,32,-1,-1,3,39,49,10,14,43,43,0,0,0,43,63,16,25,44,65,89,100,75,89,27,31,48,59,47,68,35,32,34,68,78,55,0,4,10,1,5,1,4,0,0,0,1,1,0,0,0,1,5
Rashaad,Goolsby,Canby,MN,Canby High School,20,1,79,195,Portland State Vikings,3,23,-1,-1,3,38,56,40,47,47,52,0,0,0,33,51,40,49,49,54,46,59,41,59,17,28,52,73,26,41,53,25,52,77,56,79,0,28,908,75,198,29,88,45,74,13,67,183,57,2,81,67,5
Robert,McCoy,Corvallis,OR,Corvallis High School,21,1,79,195,Portland State Vikings,3,10,0,0,3,29,36,35,53,24,24,33,42,34,51,63,29,38,49,49,23,31,74,92,45,59,71,77,83,93,27,44,46,61,100,4,0,29,904,157,360,79,204,111,121,11,91,35,35,2,32,44,5
Michael,Nuga,Wrenshall,MN,Wrenshall High School,20,5,74,180,Portland State Vikings,3,1,-1,-1,5,32,57,21,35,22,31,0,0,0,39,52,17,29,56,74,39,54,48,68,27,43,38,57,28,44,2,12,35,75,33,37,0,28,661,53,126,0,0,44,69,33,69,10,11,74,35,68,5
Sal,Nuhu,Laurel,DE,Laurel Senior High School,18,1,80,215,Portland State Vikings,3,35,0,-1,3,57,69,17,30,52,57,0,0,0,45,66,37,54,42,50,71,89,59,90,44,58,38,70,57,82,76,24,33,69,63,15,0,29,625,75,146,2,14,42,57,56,87,11,24,5,30,63,5
Jamie,Orme,Murmansk,Russia,,20,2,79,200,Portland State Vikings,4,13,-1,-1,3,55,76,18,24,51,51,37,44,39,10,16,32,38,74,92,61,81,80,89,35,48,57,74,81,92,87,33,25,71,61,20,0,27,471,59,166,20,71,41,61,15,51,23,11,6,35,47,5
Brendan,Rumel,Jersey City,NJ,Lincoln High School,18,1,82,240,Portland State Vikings,2,4,0,-1,3,41,51,40,65,41,56,85,98,92,43,43,64,79,8,10,21,29,45,60,68,79,59,69,25,41,44,76,68,38,100,81,0,29,426,42,110,12,43,27,39,12,47,41,13,3,26,52,5
Deante,Strickland,Hacienda Heights,CA,Wilson High School,21,1,70,180,Portland State Vikings,3,11,0,-1,5,21,28,14,22,36,41,29,38,31,53,60,29,34,10,13,36,56,12,20,51,64,42,44,6,6,21,85,70,35,66,87,0,26,407,30,71,10,24,17,21,9,43,28,14,2,21,43,4
Juwan,Williams,Vicksburg,MS,Warren Central High School,23,1,77,215,Portland State Vikings,3,22,-1,-1,5,29,39,88,94,57,57,53,57,67,41,41,31,34,30,36,20,26,15,19,45,52,57,57,21,26,47,80,62,25,88,21,0,27,353,58,113,0,0,49,89,44,45,7,5,7,28,66,4
Holland,Woods,Rudesheim,Germany,,20,1,72,170,Portland State Vikings,2,3,0,-1,5,32,36,35,49,53,60,76,78,86,4,4,24,36,14,15,28,31,37,43,25,29,38,49,8,10,60,88,82,42,52,49,0,28,338,25,69,5,17,7,16,18,56,12,6,2,23,34,4
Vonte,Carter,Exeter,CA,Exeter High School,21,4,74,175,Portland State Vikings,4,15,0,-1,5,27,30,60,66,74,74,46,55,54,32,33,37,38,11,12,7,7,16,23,30,40,70,70,23,28,8,80,98,47,77,72,0,29,310,33,85,18,54,13,22,7,17,12,6,1,14,31,4
Michael,Mayhew,Torrance,CA,Torrance High School,22,3,74,190,Portland State Vikings,4,2,-1,-1,5,16,20,35,50,63,63,46,55,46,19,26,23,32,19,26,21,30,28,38,32,34,26,37,14,22,39,72,68,52,39,25,0,29,253,23,38,0,0,6,14,24,30,2,3,7,6,52,4
Kevonte,Corley,San Diego,CA,Clairemont Senior High School,20,3,78,175,Prairie View Panthers,3,5,0,-1,3,37,46,71,79,44,44,28,44,38,29,40,9,12,32,45,40,65,28,37,8,10,11,17,29,45,31,54,50,61,23,58,0,15,135,9,27,5,15,3,9,5,11,2,3,2,2,8,4
Chancellor,Ellis,Tuscumbia,AL,Colbert Heights High School,19,1,76,185,Prairie View Panthers,2,3,-1,-1,5,35,43,50,61,38,46,23,38,34,11,19,8,14,33,40,15,20,12,21,25,40,22,37,6,9,91,46,48,51,14,20,0,6,32,4,8,0,0,1,2,0,2,0,1,1,1,1,4
Iwin,Ellis,Loveland,CO,Loveland High School,23,1,79,205,Prairie View Panthers,4,13,-1,-1,3,50,57,7,7,32,35,17,20,17,20,25,9,9,12,15,9,9,24,28,35,37,8,8,55,57,22,44,46,66,62,96,0,6,22,3,8,3,6,0,0,0,1,0,0,0,0,2,4
Gerard,Andrus,Beverly Hills,CA,Beverly Hills High School,20,1,77,192,Prairie View Panthers,3,15,-1,-1,5,22,38,41,56,29,43,0,0,0,29,45,22,30,22,42,41,69,75,100,4,6,19,34,49,63,28,39,39,77,14,34,0,28,893,107,231,10,30,43,71,61,91,72,45,6,43,38,4
Gary,Blackston,Castroville,CA,North Monterey County High School,18,4,74,185,Prairie View Panthers,4,3,0,0,5,30,40,18,30,7,7,0,0,0,19,26,20,27,35,52,23,29,29,34,39,59,17,22,27,38,6,40,43,63,46,47,0,28,741,105,250,14,43,84,124,49,93,55,19,8,72,41,4
Taishaun,Johnson,Spring Valley,CA,Monte Vista High School,22,1,72,176,Prairie View Panthers,4,1,0,-1,5,26,30,20,22,26,26,5,5,5,20,24,7,7,70,70,34,38,26,32,12,16,18,21,79,79,62,31,31,81,80,72,0,25,662,100,235,42,119,39,56,19,52,37,26,0,36,42,4
Dennis,Jones,Merced,CA,Golden Valley High School,18,4,73,170,Prairie View Panthers,3,11,0,-1,5,28,36,15,26,52,56,18,27,24,43,76,24,30,34,50,52,62,50,70,4,8,16,25,19,27,17,41,39,73,52,57,0,28,637,39,74,0,0,30,61,60,88,11,12,71,22,50,4
Antione,Lister,Elk Grove,CA,Laguna Creek High School,21,4,75,165,Prairie View Panthers,3,4,0,-1,5,15,21,7,8,32,39,0,0,0,38,48,35,41,14,20,62,64,45,52,24,37,31,50,74,80,23,42,35,89,44,21,0,27,577,55,146,14,58,50,73,14,66,44,18,3,32,27,4
Devonte,Patterson,Vacaville,CA,Vacaville High School,21,3,79,205,Prairie View Panthers,3,5,-1,0,3,21,24,15,20,47,48,0,0,0,8,10,13,20,46,56,41,55,42,47,7,9,5,8,36,51,70,17,36,67,30,5,0,22,455,39,118,32,95,6,6,5,29,23,17,7,23,27,4
Tyler,Singleton,Chandler,AZ,El Dorado High School,21,3,74,185,Prairie View Panthers,2,10,0,-1,5,49,64,78,90,65,65,73,78,91,77,97,80,80,45,53,8,9,44,49,55,74,66,66,12,18,5,91,72,48,52,25,0,27,393,53,96,0,0,23,49,37,51,5,8,17,32,56,5
Leon,Sneed,Lagrange,IN,Prairie Heights Senior High School,21,3,74,175,Prairie View Panthers,3,14,0,-1,5,23,34,78,92,76,78,79,97,100,47,47,39,44,12,12,50,73,44,56,72,82,17,21,12,19,68,83,75,34,51,67,0,27,364,29,68,2,9,23,34,19,34,12,18,8,20,56,5
Faite,Wiliams,Emmaus,PA,Emmaus High School,19,1,74,175,Prairie View Panthers,1,21,-1,-1,5,16,27,20,33,43,56,38,46,40,76,93,56,68,7,13,13,25,17,25,52,77,18,28,22,42,23,90,63,37,19,59,0,23,330,43,93,15,36,21,30,22,40,15,7,15,21,23,5
Darius,Williams,New Castle,KY,Henry County High School,20,2,72,176,Prairie View Panthers,3,2,-1,-1,5,25,42,54,75,76,97,38,47,40,21,31,57,66,10,13,14,20,9,10,34,41,40,51,10,16,16,91,64,42,29,64,0,13,287,32,102,11,51,29,47,10,24,11,19,6,15,18,5
Elijah,Holifield,Raymond,WA,Raymond Senior High School,19,2,75,180,Prairie View Panthers,3,12,0,-1,5,24,38,36,54,38,46,54,62,58,33,54,48,68,11,13,16,26,13,21,45,52,58,88,20,34,2,66,96,39,40,91,0,15,173,14,39,5,14,9,16,3,13,9,5,0,15,12,5
Tristen,Wallace,Thatcher,AZ,Thatcher High School,22,2,75,235,Prairie View Panthers,2,22,-1,-1,3,25,40,75,97,55,57,67,100,97,39,42,71,82,46,53,8,8,36,48,27,38,31,39,29,34,54,84,83,54,49,31,0,16,127,8,14,2,3,1,2,3,9,7,10,0,8,12,5
Maleek,Catchings,Jackson,MI,Jackson High School,22,3,76,240,Presbyterian Blue Hose,4,22,0,0,5,73,79,16,21,54,54,12,13,15,53,59,36,41,36,42,34,37,26,31,53,56,64,64,51,60,78,47,48,61,61,52,0,5,13,2,3,2,3,1,2,1,1,0,1,0,3,0,5
Romeo,Crouch,Pine Grove,PA,Pine Grove Area High School,20,4,75,175,Presbyterian Blue Hose,2,3,0,-1,5,34,47,78,94,64,64,36,47,40,51,70,7,7,53,60,24,30,34,53,54,67,67,84,27,39,64,46,52,50,65,31,0,2,8,1,7,0,4,0,1,3,3,0,0,0,1,1,5
Adam,Flagler,Omaha,NE,Benson High School,22,4,75,170,Presbyterian Blue Hose,1,10,0,-1,5,26,29,38,44,12,12,61,74,71,10,10,42,53,54,67,66,66,53,63,67,74,69,72,32,34,38,72,81,76,59,25,0,29,906,159,299,38,100,46,72,55,101,43,23,25,30,51,5
Jamie,Baker,Chesapeake City,MD,Bohemia Manor High School,20,5,71,155,Presbyterian Blue Hose,2,30,-1,-1,5,40,61,27,45,33,39,0,0,0,6,11,18,34,45,65,53,87,37,54,37,62,31,58,34,42,83,45,43,69,56,40,0,29,836,119,255,37,93,81,125,30,97,70,29,2,38,61,5
Tristen,Becker,Midlothian,VA,James River High School,20,5,75,190,Presbyterian Blue Hose,3,13,0,0,5,49,57,15,24,21,27,19,30,30,23,35,8,9,38,48,47,64,39,54,33,51,64,79,7,9,44,33,54,75,49,58,0,29,761,59,142,19,54,42,89,34,126,92,36,8,57,91,5
Davon,Bell,Inman,KS,Inman High School,19,3,70,175,Presbyterian Blue Hose,4,5,0,-1,5,38,60,9,13,5,6,25,44,40,22,29,16,22,28,47,63,76,69,79,38,48,31,55,11,17,56,28,45,81,44,3,0,29,747,140,287,29,72,100,154,62,96,40,18,12,53,88,5
