 351,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10,Field 11,Field 12,Field 13,Field 14,Field 15
239,Richmond,Spiders,72,RICH ,richmond,Richmond,VA,3,1,#004371,0,37.54,-77.46,1
240,Rider,Broncs,47,RIDER,rider,Lawrenceville,NJ,16,1,#C82223,0,40.3,-74.74,1
241,Robert Morris,Colonials,49,RMU  ,robertmorris,Pittsburgh,PA,21,1,#3D4262,0,40.44,-79.98,1
242,Rutgers,Scarlet Knights,47,RUT  ,rutgers,New Brunswick,NJ,10,1,#FF3B2F,0,40.49,-74.45,1
243,Sacramento State,Hornets,33,SACST,sacramentostate,Sacramento,CA,8,1,#145F52,229,38.56,-121.47,1
244,Sacred Heart,Pioneers,30,HEART,sacredheart,Fairfield,CT,21,1,#BB003A,0,41.18,-73.28,1
245,Saint Joseph's,Hawks,61,JOES ,stjosephs,Philadelphia,PA,3,1,#BB003A,0,40,-75.14,1
246,Saint Louis,Billikens,52,SLU  ,saintlouis,St. Louis,MO,3,1,#00428C,0,38.63,-90.24,1
247,Saint Mary's,Gaels,73,MARYS,saintmarys,Moraga,CA,31,1,#D80024,223,37.84,-122.12,1
248,Saint Peter's,Peacocks,37,PETES,stpeters,New Brunswick,NJ,16,1,#2361AA,0,40.49,-74.45,1
249,Sam Houston State,Bearkats,53,SHSU ,samhouston,Huntsville,TX,27,1,#011F9D,0,30.71,-95.55,1
250,Samford,Bulldogs,22,SAM  ,samford,Birmingham,AL,26,1,#00295C,0,33.52,-86.81,1
251,San Diego,Toreros,54,SD   ,sandiego,San Diego,CA,31,1,#002868,35,32.78,-117.15,1
252,San Diego State,Aztecs,84,SDSU ,sandiegostate,San Diego,CA,20,1,#A81933,0,32.78,-117.15,1
253,San Francisco,Dons,55,SF   ,sanfrancisco,San Francisco,CA,31,1,#006633,255,37.76,-122.44,1
254,San Jose State,Spartans,14,SJSU ,sanjosestate,San Jose,CA,20,1,#005A94,0,37.3,-121.87,1
255,Santa Clara,Broncos,47,CLARA,santaclara,Santa Clara,CA,31,1,#690B0B,253,37.35,-121.97,1
256,Cal Baptist,Lancers,10,CALBAP,calbaptist,Riverside,CA,32,1,#000080,0,33.55,-117.2530,1
257,Seattle,Redhawks,32,SEA  ,seattleu,Seattle,WA,32,1,#A42822,37,47.61,-122.33,1
258,Seton Hall,Pirates,64,HALL ,setonhall,South Orange,NJ,7,1,#3142AD,0,40.75,-74.26,1
259,Siena,Saints,35,SIENA,siena,Albany,NY,16,1,#006953,0,42.66,-73.78,1
260,SIU Edwardsville,Cougars,27,SIUE ,siue,Edwardsville,IL,22,2,#FF0000,0,38.81,-89.95,1
261,SMU,Mustangs,75,SMU  ,southernmethodist,Dallas,TX,2,1,#E73139,0,32.8,-96.79,1
262,South Alabama,Jaguars,28,USA  ,southalabama,Mobile,AL,30,1,#004A7B,0,30.68,-88.1,1
263,South Carolina,Gamecocks,63,S CAR,southcarolina,Columbia,SC,25,1,#98012D,0,34.02,-81.01,1
264,South Carolina State,Bulldogs,10,SC ST,southcarolinastate,Orangeburg,SC,18,1,#8C2633,0,33.5,-80.86,1
265,South Dakota,Coyotes,33,USD  ,southdakota,Vermillion,SD,29,1,#870006,187,42.78,-96.93,1
266,South Dakota State,Jackrabbits,63,SD ST,southdakotastate,Brookings,SD,29,1,#002662,202,44.31,-96.8,1
267,South Florida,Bulls,38,USF  ,southflorida,Tampa,FL,2,1,#004231,0,27.97,-82.46,1
268,Southeast Missouri State,Redhawks,35,SEMS ,southeastmissouristate,Cape Girardeau,MO,22,2,#CE1126,0,37.31,-89.55,1
269,Southeastern Louisiana,Lions,20,SE LA,southeasternlouisiana,Hammond,LA,27,1,#205228,0,30.5,-90.47,1
270,Southern,Jaguars,31,STHN ,southern,Baton Rouge,LA,28,1,#291B4C,8,30.46,-91.14,1
271,Southern Illinois,Salukis,42,SIU  ,southernillinois,Carbondale,IL,19,1,#85283D,0,37.78,-89.25,1
272,Southern Miss,Golden Eagles,46,USM  ,southernmississippi,Hattiesburg,MS,13,1,#FFBD24,149,31.32,-89.31,1
273,Southern Utah,Thunderbirds,17,SUU  ,southernutah,Cedar City,UT,8,1,#D10000,206,37.68,-113.07,1
274,St. Bonaventure,Bonnies,63,STBN ,stbonaventure,St. Bonaventure,NY,3,1,#712A1B,0,42.08,-78.47,1
275,St. Francis NY,Terriers,45,SF NY,stfrancisny,Brooklyn Heights,NY,21,1,#032845,0,40.69,-73.99,1
276,St. Francis PA,Red Flash,27,SF PA,stfrancispa,Loretto,PA,21,1,#A20012,0,40.51,-78.64,1
277,St. John's,Red Storm,73,JOHNS,stjohns,New York,NY,7,1,#E24552,0,40.7,-73.92,1
278,Stanford,Cardinal,80,STAN ,stanford,Stanford,CA,23,1,#B72931,40,37.42,-122.17,1
279,Stephen F. Austin,Lumberjacks,75,SFA  ,stephenfaustin,Nacogdoches,TX,27,1,#230D3C,0,31.61,-94.65,1
280,Stetson,Hatters,16,STET ,stetson,De Land,FL,5,1,#18581C,89,29.03,-81.3,1
281,Stony Brook,Seawolves,56,STONY,stonybrook,Stony Brook,NY,1,1,#003559,0,40.91,-73.13,1
282,Syracuse,Orange,83,SYR  ,syracuse,Syracuse,NY,4,1,#FF6318,0,43.05,-76.14,1
283,TCU,Horned Frogs,55,TCU  ,tcu,Fort Worth,TX,6,1,#4D1979,0,32.74,-97.33,1
284,Temple,Owls,71,TEMP ,temple,Philadelphia,PA,2,1,#BC0138,0,40,-75.14,1
285,Tennessee,Volunteers,74,TENN ,tennessee,Knoxville,TN,25,1,#EE9627,0,35.97,-83.94,1
286,Tennessee Martin,Skyhawks,35,TNMAR,tennesseemartin,Martin,TN,22,2,#000099,0,36.34,-88.85,1
287,Tennessee State,Tigers,22,TN ST,tennesseestate,Nashville,TN,22,1,#21398C,0,36.15,-86.76,1
288,Tennessee Tech,Golden Eagles,31,TN TC,tennesseetech,Cookeville,TN,22,1,#440E62,0,36.16,-85.5,1
289,Texas,Longhorns,82,TEX  ,texas,Austin,TX,6,1,#EF7321,0,30.3,-97.75,1
290,Texas A&M,Aggies,69,TX AM,texasam,College Station,TX,25,1,#500000,0,30.6,-96.31,1
291,Texas A&M Corpus Christi,Islanders,34,TAMCC,texasamcorpuschristi,Corpus Christi,TX,27,1,#00639C,0,27.74,-97.4,1
292,Texas-Rio Grande Valley,Vaqueros,14,UTRGV,utrgv,Edinburg,TX,32,1,#DC6000,191,26.3,-98.16,1
293,Texas Southern,Tigers,37,TX SO,texassouthern,Houston,TX,28,1,#680100,230,29.76,-95.38,1
294,Texas State,Bobcats,31,TX ST,texasstate,San Marcos,TX,30,1,#570318,0,29.88,-97.94,1
295,Texas Tech,Red Raiders,52,TX TC,texastech,Lubbock,TX,6,1,#D60039,0,33.56,-101.88,1
296,The Citadel,Bulldogs,12,CIT  ,thecitadel,Charleston,SC,26,1,#0000FF,0,32.79,-79.99,1
297,Toledo,Rockets,56,TOL  ,toledo,Toledo,OH,17,2,#00275D,0,41.67,-83.58,1
298,Towson,Tigers,37,TOW  ,towson,Towson,MD,12,1,#F3AE22,0,39.39,-76.61,1
299,Troy,Trojans,28,TROY ,troy,Troy,AL,30,1,#A80532,0,31.8,-85.97,1
300,Tulane,Green Wave,34,TUL  ,tulane,New Orleans,LA,2,1,#084A38,0,29.97,-90.06,1
301,Tulsa,Golden Hurricane,66,TULSA,tulsa,Tulsa,OK,2,1,#004273,0,36.13,-95.94,1
302,UAB,Blazers,57,UAB  ,uab,Birmingham,AL,13,1,#006117,170,33.52,-86.81,1
303,UC Davis,Aggies,43,UCD  ,ucdavis,Davis,CA,11,1,#1B265C,0,38.55,-121.74,1
304,UC Irvine,Anteaters,60,UCI  ,ucirvine,Irvine,CA,11,1,#00108C,0,33.68,-117.79,1
305,UC Riverside,Highlanders,30,UCR  ,ucriverside,Riverside,CA,11,1,#13214E,0,33.95,-117.4,1
306,UC Santa Barbara,Gauchos,57,UCSB ,ucsantabarbara,Santa Barbara,CA,11,1,#0439A7,0,34.43,-119.71,1
307,UCF,Knights,39,UCF  ,centralflorida,Orlando,FL,2,1,#222222,0,28.53,-81.38,1
308,UCLA,Bruins,83,UCLA ,ucla,Los Angeles,CA,23,1,#005A94,316,34.09,-118.38,1
309,UMass Lowell,River Hawks,13,UMLOW,umasslowell,Lowell,MA,1,1,#2051A0,0,42.64,-71.31,1
310,UMBC,Retrievers,11,UMBC ,umbc,Baltimore,MD,1,1,#232323,0,39.31,-76.62,1
311,UMKC,Kangaroos,24,UMKC ,umkc,Kansas City,MO,32,1,#004A8B,49,39.08,-94.56,1
312,UNC Asheville,Bulldogs,38,UNCA ,uncasheville,Asheville,NC,9,1,#092575,94,35.58,-82.56,1
313,UNC Greensboro,Spartans,24,UNCG ,uncgreensboro,Greensboro,NC,26,1,#21467B,0,36.08,-79.82,1
314,UNC Wilmington,Seahawks,37,UNCW ,uncwilmington,Wilmington,NC,12,1,#1D2F68,0,34.22,-77.91,1
315,UNLV,Rebels,69,UNLV ,unlv,Las Vegas,NV,20,1,#E73139,0,36.19,-115.22,1
316,USC,Trojans,53,USC  ,southerncalifornia,Los Angeles,CA,23,1,#A50010,308,34.09,-118.38,1
317,USC Upstate,Spartans,43,USC U,uscupstate,Spartanburg,SC,9,1,#2B5F49,135,34.95,-81.93,1
318,UT Arlington,Mavericks,43,UTA  ,texasarlington,Arlington,TX,30,1,#004B7C,0,32.71,-97.12,1
319,Utah,Utes,79,UTAH ,utah,Salt Lake City,UT,23,1,#CE4242,56,40.75,-111.89,1
320,Utah State,Aggies,60,UT ST,utahstate,Logan,UT,20,1,#003366,0,41.74,-111.83,1
321,Utah Valley,Wolverines,23,UVU  ,utahvalley,Orem,UT,32,1,#004812,104,40.3,-111.69,1
322,UTEP,Miners,63,UTEP ,utep,El Paso,TX,13,1,#FF7339,323,31.79,-106.42,1
323,UTSA,Roadrunners,33,UTSA ,texassanantonio,San Antonio,TX,13,1,#113B7D,322,29.45,-98.51,1
324,Valparaiso,Crusaders,66,VALPO,valparaiso,Valparaiso,IN,19,1,#964B00,119,41.48,-87.06,1
325,Vanderbilt,Commodores,74,VANDY,vanderbilt,Nashville,TN,25,1,#997F3D,0,36.15,-86.76,1
326,VCU,Rams,85,VCU  ,virginiacommonwealth,Richmond,VA,3,1,#EDBC31,0,37.54,-77.46,1
327,Vermont,Catamounts,63,UVM  ,vermont,Burlington,VT,1,1,#214231,0,44.48,-73.22,1
328,Villanova,Wildcats,90,NOVA ,villanova,Villanova,PA,7,1,#002868,0,40.04,-75.35,1
329,Virginia,Cavaliers,91,UVA  ,virginia,Charlottesville,VA,4,1,#002C62,0,38.03,-78.49,1
330,Virginia Tech,Hokies,49,VT   ,virginiatech,Blacksburg,VA,4,1,#7B2129,0,37.23,-80.42,1
331,VMI,Keydets,29,VMI  ,vmi,Lexington,VA,26,1,#FF0000,0,37.78,-79.45,1
332,Wagner,Seahawks,34,WAG  ,wagner,New York,NY,21,1,#003E22,0,40.7,-73.92,1
333,Wake Forest,Deamon Deacons,57,WAKE ,wakeforest,Winston-Salem,NC,4,1,#E3A444,0,36.1,-80.26,1
334,Washington,Huskies,65,WASH ,washington,Seattle,WA,23,1,#3E3468,335,47.63,-122.33,1
335,Washington State,Cougars,50,WSU  ,washingtonstate,Pullman,WA,23,1,#A32638,334,46.73,-117.17,1
336,Weber State,Wildcats,42,WEBER,weberstate,Ogden,UT,8,1,#18005A,117,41.23,-111.96,1
337,West Virginia,Mountaineers,78,WVU  ,westvirginia,Morgantown,WV,6,1,#00386B,0,39.63,-79.95,1
338,Western Carolina,Catamounts,34,WCU  ,westerncarolina,Cullowhee,NC,26,1,#6E268B,0,35.31,-83.18,1
339,Western Illinois,Leathernecks,23,WIU  ,westernillinois,Macomb,IL,29,1,#4E1E8A,128,40.46,-90.67,1
340,Western Kentucky,Hilltoppers,50,WKU  ,westernkentucky,Bowling Green,KY,13,1,#E51636,159,36.98,-86.44,1
341,Western Michigan,Broncos,51,WMU  ,westernmichigan,Kalamazoo,MI,17,2,#514B52,0,42.28,-85.58,1
342,Wichita State,Shockers,90,WICH ,wichitastate,Wichita,KS,2,1,#0D0A03,0,37.69,-97.34,1
343,William & Mary,Tribe,49,WM   ,williammary,Williamsburg,VA,12,1,#073E2B,0,37.27,-76.71,1
344,Winthrop,Eagles,41,WINTH,winthrop,Rock Hill,SC,9,1,#9E0B0E,231,34.94,-81.03,1
345,Wisconsin,Badgers,94,WISC ,wisconsin,Madison,WI,10,1,#D71034,0,43.07,-89.39,1
346,Wofford,Terriers,54,WOFF ,wofford,Spartanburg,SC,26,1,#CFB53B,0,34.95,-81.93,1
347,Wright State,Raiders,44,WRGHT,wrightstate,Dayton,OH,14,1,#A36209,0,39.76,-84.2,1
348,Wyoming,Cowboys,59,WYO  ,wyoming,Laramie,WY,20,1,#523921,0,41.31,-105.59,1
349,Xavier,Musketeers,81,XAV  ,xavier,Cincinnati,OH,7,1,#004B80,0,39.14,-84.5,1
350,Yale,Bulldogs,60,YALE ,yale,New Haven,CT,15,1,#004A81,30,41.31,-72.92,1
351,Youngstown State,Penguins,34,YSU  ,youngstownstate,Youngstown,OH,14,1,#961F22,52,41.1,-80.65,1
352,North Alabama,Lions,10,NOALA,northalabama,Florence,AL,5,1,#466166,0,34.81,-87.68,1
353,Merrimack,Warriors,10,MERR,merrimack,North Andover,MA,21,1,#000080,0,42.41,-71.08,1
